glyph_name,ps_name
Obreve,Obreve
obreve,obreve
Ocaron,Ocaron
ocaron,ocaron
Ocircumflex,Ocircumflex
ocircumflex,ocircumflex
Ocircumflexacute,Ocircumflexacute
ocircumflexacute,ocircumflexacute
Ocircumflexdotbelow,Ocircumflexdotbelow
ocircumflexdotbelow,ocircumflexdotbelow
Ocircumflexgrave,Ocircumflexgrave
ocircumflexgrave,ocircumflexgrave
Ocircumflexhoi,Ocircumflexhoi
ocircumflexhoi,ocircumflexhoi
Ocircumflextilde,Ocircumflextilde
ocircumflextilde,ocircumflextilde
Odieresis,Odieresis
odieresis,odieresis
Odotbelow,Odotbelow
odotbelow,odotbelow
OE,OE
oe,oe
ogonek,ogonek
ogonekcmb,ogonekcmb
Ograve,Ograve
ograve,ograve
Ohoi,Ohoi
ohoi,ohoi
Ohorn,Ohorn
ohorn,ohorn
Ohornacute,Ohornacute
ohornacute,ohornacute
Ohorndotbelow,Ohorndotbelow
ohorndotbelow,ohorndotbelow
Ohorngrave,Ohorngrave
ohorngrave,ohorngrave
Ohornhoi,Ohornhoi
ohornhoi,ohornhoi
Ohorntilde,Ohorntilde
ohorntilde,ohorntilde
Ohungarumlaut,Ohungarumlaut
ohungarumlaut,ohungarumlaut
Omacron,Omacron
omacron,omacron
Omega,Omega
one,one
one.subs,one.subs
one.sups,one.sups
oneeighth,oneeighth
onehalf,onehalf
onequarter,onequarter
onethird,onethird
ordfeminine,ordfeminine
ordmasculine,ordmasculine
Oslash,Oslash
oslash,oslash
Otilde,Otilde
otilde,otilde
P,P
p,p
p.sups,p.sups
paragraph,paragraph
parenleft,parenleft
parenleft.subs,parenleft.subs
parenleft.sups,parenleft.sups
parenright,parenright
parenright.subs,parenright.subs
parenright.sups,parenright.sups
partialdiff,partialdiff
percent,percent
period,period
period.subs,period.subs
period.sups,period.sups
periodcentered,periodcentered
perthousand,perthousand
peseta,peseta
peso,peso
pi,pi
plus,plus
plusminus,plusminus
prime,prime
product,product
Q,Q
q,q
q.sups,q.sups
question,question
questiondbl,questiondbl
questiondown,questiondown
questionexclam,questionexclam
quotedbl,quotedbl
quotedblbase,quotedblbase
quotedblleft,quotedblleft
quotedblright,quotedblright
quoteleft,quoteleft
quoteright,quoteright
quotesinglbase,quotesinglbase
quotesingle,quotesingle
R,R
r,r
r.sups,r.sups
Racute,Racute
racute,racute
radical,radical
Rcaron,Rcaron
rcaron,rcaron
Rcommaaccent,Rcommaaccent
rcommaaccent,rcommaaccent
Rdotbelow,Rdotbelow
rdotbelow,rdotbelow
Rdotbelowmacron,Rdotbelowmacron
rdotbelowmacron,rdotbelowmacron
registered,registered
ring,ring
ringcmb,ringcmb
ringcmb.cap,ringcmb.cap
ringhalfleftmod,ringhalfleftmod
ringhalfrightmod,ringhalfrightmod
Rlinebelow,Rlinebelow
rlinebelow,rlinebelow
ruble,ruble
rupeeindian,rupeeindian
S,S
s,s
s.sups,s.sups
Sacute,Sacute
sacute,sacute
Scaron,Scaron
scaron,scaron
Scedilla,Scedilla
scedilla,scedilla
Schwa,Schwa
schwa,schwa
Scircumflex,Scircumflex
scircumflex,scircumflex
Scommaaccent,Scommaaccent
scommaaccent,scommaaccent
Sdotaccent,Sdotaccent
sdotaccent,sdotaccent
Sdotbelow,Sdotbelow
sdotbelow,sdotbelow
section,section
semicolon,semicolon
servicemark,servicemark
seven,seven
seven.subs,seven.subs
seven.sups,seven.sups
seveneighths,seveneighths
six,six
six.subs,six.subs
six.sups,six.sups
slash,slash
soundcopyright,soundcopyright
space,space
squareblack,squareblack
squareshadow,squareshadow
sterling,sterling
summation,summation
T,T
t,t
t.sups,t.sups
Tcaron,Tcaron
tcaron,tcaron
Tcedilla,Tcedilla
tcedilla,tcedilla
Tcommaaccent,Tcommaaccent
tcommaaccent,tcommaaccent
tdieresis,tdieresis
Tdotbelow,Tdotbelow
tdotbelow,tdotbelow
tenge,tenge
Thorn,Thorn
thorn,thorn
three,three
three.subs,three.subs
three.sups,three.sups
threeeighths,threeeighths
threeemdash,threeemdash
threequarters,threequarters
tilde,tilde
tildecmb,tildecmb
tildecmb.cap,tildecmb.cap
Tlinebelow,Tlinebelow
tlinebelow,tlinebelow
trademark,trademark
triangleblackdown,triangleblackdown
triangleblackleft,triangleblackleft
triangleblackright,triangleblackright
triangleblackup,triangleblackup
trianglewhitedown,trianglewhitedown
trianglewhiteleft,trianglewhiteleft
trianglewhiteright,trianglewhiteright
trianglewhiteup,trianglewhiteup
tugrik,tugrik
two,two
two.subs,two.subs
two.sups,two.sups
twodotenleader,twodotenleader
twoemdash,twoemdash
twothirds,twothirds
U,U
u,u
u.sups,u.sups
Uacute,Uacute
uacute,uacute
Ubreve,Ubreve
ubreve,ubreve
Ucaron,Ucaron
ucaron,ucaron
Ucircumflex,Ucircumflex
ucircumflex,ucircumflex
Udieresis,Udieresis
udieresis,udieresis
Udieresisacute,Udieresisacute
udieresisacute,udieresisacute
Udieresiscaron,Udieresiscaron
udieresiscaron,udieresiscaron
Udieresisgrave,Udieresisgrave
udieresisgrave,udieresisgrave
Udieresismacron,Udieresismacron
udieresismacron,udieresismacron
Udotbelow,Udotbelow
udotbelow,udotbelow
Ugrave,Ugrave
ugrave,ugrave
Uhoi,Uhoi
uhoi,uhoi
Uhorn,Uhorn
uhorn,uhorn
Uhornacute,Uhornacute
uhornacute,uhornacute
Uhorndotbelow,Uhorndotbelow
uhorndotbelow,uhorndotbelow
Uhorngrave,Uhorngrave
uhorngrave,uhorngrave
Uhornhoi,Uhornhoi
uhornhoi,uhornhoi
Uhorntilde,Uhorntilde
uhorntilde,uhorntilde
Uhungarumlaut,Uhungarumlaut
uhungarumlaut,uhungarumlaut
Umacron,Umacron
umacron,umacron
underscore,underscore
uni00A0,uni00A0
uni00AD,uni00AD
uni02BB,uni02BB
uni02BC,uni02BC
uni2010,uni2010
Uogonek,Uogonek
uogonek,uogonek
Uring,Uring
uring,uring
Utilde,Utilde
utilde,utilde
V,V
v,v
v.sups,v.sups
verticallinebelowcmb,verticallinebelowcmb
verticallinelowmod,verticallinelowmod
verticallinemod,verticallinemod
W,W
w,w
w.sups,w.sups
Wacute,Wacute
wacute,wacute
Wcircumflex,Wcircumflex
wcircumflex,wcircumflex
Wdieresis,Wdieresis
wdieresis,wdieresis
Wgrave,Wgrave
wgrave,wgrave
won,won
X,X
x,x
x.sups,x.sups
Y,Y
y,y
y.sups,y.sups
Yacute,Yacute
yacute,yacute
Ycircumflex,Ycircumflex
ycircumflex,ycircumflex
Ydieresis,Ydieresis
ydieresis,ydieresis
Ydotaccent,Ydotaccent
ydotaccent,ydotaccent
Ydotbelow,Ydotbelow
ydotbelow,ydotbelow
yen,yen
Ygrave,Ygrave
ygrave,ygrave
Yhoi,Yhoi
yhoi,yhoi
Ytilde,Ytilde
ytilde,ytilde
Z,Z
z,z
z.sups,z.sups
Zacute,Zacute
zacute,zacute
Zcaron,Zcaron
zcaron,zcaron
Zdotaccent,Zdotaccent
zdotaccent,zdotaccent
Zdotbelow,Zdotbelow
zdotbelow,zdotbelow
zero,zero
zero.subs,zero.subs
zero.sups,zero.sups
f_i,f_i
f_l,f_l
uni034F,uni034F
uni2000,uni2000
uni2001,uni2001
uni2002,uni2002
uni2003,uni2003
uni2004,uni2004
uni2005,uni2005
uni2006,uni2006
uni2008,uni2008
uni2009,uni2009
uni200A,uni200A
uni200B,uni200B
uni200C,uni200C
uni200D,uni200D
uni2011,uni2011
uni2027,uni2027
uni2028,uni2028
uni2029,uni2029
uni202F,uni202F
uni2060,uni2060
uni25CC,uni25CC
uniFE00,uniFE00
uniFE01,uniFE01
uniFE02,uniFE02
uniFE03,uniFE03
uniFE04,uniFE04
uniFE05,uniFE05
uniFE06,uniFE06
uniFE07,uniFE07
uniFE08,uniFE08
uniFE09,uniFE09
uniFE0A,uniFE0A
uniFE0B,uniFE0B
uniFE0C,uniFE0C
uniFE0D,uniFE0D
uniFE0E,uniFE0E
uniFE0F,uniFE0F
uniFEFF,uniFEFF
uniFFFC,uniFFFC
uniFFFD,uniFFFD
